"Date","Open","High","Low","Close"
"Fri Feb 01 2013 00:00:00 GMT+0530 (India Standard Time)","671.00","760.00","670.50","757.40"
"Fri Mar 01 2013 00:00:00 GMT+0530 (India Standard Time)","756.10","799.00","745.10","785.90"
"Mon Apr 01 2013 00:00:00 GMT+0530 (India Standard Time)","779.00","787.50","682.00","688.10"
"Wed May 01 2013 00:00:00 GMT+0530 (India Standard Time)","687.50","764.05","687.00","749.80"
"Mon Jun 03 2013 00:00:00 GMT+0530 (India Standard Time)","750.00","772.40","691.05","759.20"
"Mon Jul 01 2013 00:00:00 GMT+0530 (India Standard Time)","754.00","915.05","732.60","907.55"
"Thu Aug 01 2013 00:00:00 GMT+0530 (India Standard Time)","905.00","1020.00","845.50","1011.60"
"Mon Sep 02 2013 00:00:00 GMT+0530 (India Standard Time)","1009.00","1037.90","947.55","963.35"
"Tue Oct 01 2013 00:00:00 GMT+0530 (India Standard Time)","963.50","1129.00","955.55","1054.10"
"Fri Nov 01 2013 00:00:00 GMT+0530 (India Standard Time)","1055.00","1074.00","985.05","1002.30"
"Mon Dec 02 2013 00:00:00 GMT+0530 (India Standard Time)","1000.50","1091.65","980.00","1085.45"
"Wed Jan 01 2014 00:00:00 GMT+0530 (India Standard Time)","1090.00","1192.10","1075.00","1118.10"
"Mon Feb 03 2014 00:00:00 GMT+0530 (India Standard Time)","1113.50","1138.50","1044.00","1136.40"
"Mon Mar 03 2014 00:00:00 GMT+0530 (India Standard Time)","1135.00","1148.45","1007.35","1064.10"
"Tue Apr 01 2014 00:00:00 GMT+0530 (India Standard Time)","1072.50","1135.00","1050.60","1094.70"
"Thu May 01 2014 00:00:00 GMT+0530 (India Standard Time)","1097.00","1126.80","1000.25","1072.10"
"Mon Jun 02 2014 00:00:00 GMT+0530 (India Standard Time)","1073.50","1213.50","1031.25","1209.70"
"Tue Jul 01 2014 00:00:00 GMT+0530 (India Standard Time)","1207.50","1306.70","1168.00","1288.65"
"Fri Aug 01 2014 00:00:00 GMT+0530 (India Standard Time)","1288.50","1294.00","1212.95","1262.30"
"Mon Sep 01 2014 00:00:00 GMT+0530 (India Standard Time)","1262.50","1390.00","1257.50","1369.10"
"Wed Oct 01 2014 00:00:00 GMT+0530 (India Standard Time)","1374.50","1417.00","1207.80","1302.30"
"Mon Nov 03 2014 00:00:00 GMT+0530 (India Standard Time)","1322.50","1344.00","1275.50","1321.55"
"Mon Dec 01 2014 00:00:00 GMT+0530 (India Standard Time)","1321.50","1354.50","1174.10","1277.35"
"Thu Jan 01 2015 00:00:00 GMT+0530 (India Standard Time)","1277.20","1299.50","1203.70","1240.50"
"Mon Feb 02 2015 00:00:00 GMT+0530 (India Standard Time)","1241.05","1363.50","1218.00","1331.90"
"Mon Mar 02 2015 00:00:00 GMT+0530 (India Standard Time)","1337.55","1405.00","1250.80","1273.50"
"Wed Apr 01 2015 00:00:00 GMT+0530 (India Standard Time)","1282.50","1356.00","1201.00","1233.30"
"Fri May 01 2015 00:00:00 GMT+0530 (India Standard Time)","1241.00","1323.50","1228.30","1305.30"
"Mon Jun 01 2015 00:00:00 GMT+0530 (India Standard Time)","1305.10","1322.40","1238.50","1276.10"
"Wed Jul 01 2015 00:00:00 GMT+0530 (India Standard Time)","1282.50","1323.30","1227.50","1255.00"
"Mon Aug 03 2015 00:00:00 GMT+0530 (India Standard Time)","1254.95","1375.50","1242.90","1282.60"
"Tue Sep 01 2015 00:00:00 GMT+0530 (India Standard Time)","1283.50","1320.90","1246.95","1293.85"
"Thu Oct 01 2015 00:00:00 GMT+0530 (India Standard Time)","1300.00","1384.50","1229.00","1248.65"
"Mon Nov 02 2015 00:00:00 GMT+0530 (India Standard Time)","1248.50","1275.50","1166.50","1182.60"
"Tue Dec 01 2015 00:00:00 GMT+0530 (India Standard Time)","1182.50","1232.25","1158.30","1219.60"
"Fri Jan 01 2016 00:00:00 GMT+0530 (India Standard Time)","1216.05","1218.20","1121.90","1195.60"
"Mon Feb 01 2016 00:00:00 GMT+0530 (India Standard Time)","1196.00","1219.95","1059.50","1090.95"
"Tue Mar 01 2016 00:00:00 GMT+0530 (India Standard Time)","1091.25","1267.00","1081.75","1258.00"
"Fri Apr 01 2016 00:00:00 GMT+0530 (India Standard Time)","1252.50","1276.45","1202.50","1265.00"
"Mon May 02 2016 00:00:00 GMT+0530 (India Standard Time)","1265.00","1322.70","1216.00","1287.55"
"Wed Jun 01 2016 00:00:00 GMT+0530 (India Standard Time)","1288.00","1337.70","1227.50","1275.40"
"Fri Jul 01 2016 00:00:00 GMT+0530 (India Standard Time)","1278.60","1365.00","1202.25","1309.30"
"Mon Aug 01 2016 00:00:00 GMT+0530 (India Standard Time)","1317.35","1370.00","1235.60","1256.50"
"Thu Sep 01 2016 00:00:00 GMT+0530 (India Standard Time)","1265.00","1272.00","1143.50","1213.60"
"Mon Oct 03 2016 00:00:00 GMT+0530 (India Standard Time)","1224.00","1227.50","1149.50","1197.30"
"Tue Nov 01 2016 00:00:00 GMT+0530 (India Standard Time)","1197.30","1197.30","1027.35","1138.40"
"Thu Dec 01 2016 00:00:00 GMT+0530 (India Standard Time)","1138.25","1187.75","1075.50","1181.00"
"Mon Jan 02 2017 00:00:00 GMT+0530 (India Standard Time)","1182.50","1193.50","1103.35","1114.95"
"Wed Feb 01 2017 00:00:00 GMT+0530 (India Standard Time)","1112.20","1277.50","1077.50","1233.25"
"Wed Mar 01 2017 00:00:00 GMT+0530 (India Standard Time)","1236.30","1292.00","1203.50","1211.50"
"Mon Apr 03 2017 00:00:00 GMT+0530 (India Standard Time)","1217.50","1224.00","1127.50","1136.05"
"Mon May 01 2017 00:00:00 GMT+0530 (India Standard Time)","1144.35","1318.00","1135.70","1272.20"
"Thu Jun 01 2017 00:00:00 GMT+0530 (India Standard Time)","1269.30","1353.70","1162.50","1182.20"
"Mon Jul 03 2017 00:00:00 GMT+0530 (India Standard Time)","1181.00","1291.85","1162.50","1244.00"
"Tue Aug 01 2017 00:00:00 GMT+0530 (India Standard Time)","1247.05","1273.50","1229.00","1248.40"
"Fri Sep 01 2017 00:00:00 GMT+0530 (India Standard Time)","1238.00","1269.85","1210.30","1218.50"
"Mon Oct 02 2017 00:00:00 GMT+0530 (India Standard Time)","1222.00","1317.45","1212.50","1308.15"
"Wed Nov 01 2017 00:00:00 GMT+0530 (India Standard Time)","1311.00","1387.00","1290.55","1317.10"
"Fri Dec 01 2017 00:00:00 GMT+0530 (India Standard Time)","1318.50","1446.50","1183.75","1350.20"
"Mon Jan 01 2018 00:00:00 GMT+0530 (India Standard Time)","1345.25","1627.35","1311.35","1555.90"
"Thu Feb 01 2018 00:00:00 GMT+0530 (India Standard Time)","1560.00","1595.00","1447.10","1519.10"
"Thu Mar 01 2018 00:00:00 GMT+0530 (India Standard Time)","1527.50","1562.50","1391.15","1424.65"
"Mon Apr 02 2018 00:00:00 GMT+0530 (India Standard Time)","1424.00","1780.00","1424.00","1765.70"
"Tue May 01 2018 00:00:00 GMT+0530 (India Standard Time)","1769.85","1837.00","1699.40","1744.80"
"Fri Jun 01 2018 00:00:00 GMT+0530 (India Standard Time)","1760.00","1886.20","1712.90","1847.20"
"Mon Jul 02 2018 00:00:00 GMT+0530 (India Standard Time)","1829.95","2011.95","1829.95","1941.25"
"Wed Aug 01 2018 00:00:00 GMT+0530 (India Standard Time)","1950.00","2090.50","1945.00","2078.20"
"Mon Sep 03 2018 00:00:00 GMT+0530 (India Standard Time)","2070.00","2214.05","2018.95","2184.50"
"Mon Oct 01 2018 00:00:00 GMT+0530 (India Standard Time)","2190.00","2273.00","1784.55","1937.60"
"Thu Nov 01 2018 00:00:00 GMT+0530 (India Standard Time)","1950.00","1998.00","1787.00","1970.60"
"Mon Dec 03 2018 00:00:00 GMT+0530 (India Standard Time)","1980.10","2028.40","1872.00","1893.55"
"Tue Jan 01 2019 00:00:00 GMT+0530 (India Standard Time)","1905.00","2019.50","1809.55","2014.60"
"Fri Feb 01 2019 00:00:00 GMT+0530 (India Standard Time)","2005.00","2097.80","1882.00","1984.25"
"Fri Mar 01 2019 00:00:00 GMT+0530 (India Standard Time)","1990.00","2069.00","1959.00","2000.40"
"Mon Apr 01 2019 00:00:00 GMT+0530 (India Standard Time)","2010.00","2265.00","2006.00","2254.95"
"Wed May 01 2019 00:00:00 GMT+0530 (India Standard Time)","2260.00","2260.00","2034.00","2196.85"
"Mon Jun 03 2019 00:00:00 GMT+0530 (India Standard Time)","2207.80","2290.65","2145.20","2227.25"
"Mon Jul 01 2019 00:00:00 GMT+0530 (India Standard Time)","2239.65","2259.90","2060.00","2205.40"
"Thu Aug 01 2019 00:00:00 GMT+0530 (India Standard Time)","2206.00","2280.85","2145.90","2258.05"
"Mon Sep 02 2019 00:00:00 GMT+0530 (India Standard Time)","2259.00","2296.00","1975.00","2099.20"
"Tue Oct 01 2019 00:00:00 GMT+0530 (India Standard Time)","2099.50","2285.50","1929.00","2270.20"
"Fri Nov 01 2019 00:00:00 GMT+0530 (India Standard Time)","2270.00","2274.20","2036.00","2052.70"
"Mon Dec 02 2019 00:00:00 GMT+0530 (India Standard Time)","2060.00","2246.15","1983.85","2161.30"
"Wed Jan 01 2020 00:00:00 GMT+0530 (India Standard Time)","2170.00","2259.95","2072.40","2079.30"
"Sat Feb 01 2020 00:00:00 GMT+0530 (India Standard Time)","2080.00","2228.85","1990.40","2000.95"
"Mon Mar 02 2020 00:00:00 GMT+0530 (India Standard Time)","2025.10","2147.00","1504.40","1823.05"
"Wed Apr 01 2020 00:00:00 GMT+0530 (India Standard Time)","1830.00","2030.00","1650.00","2014.85"
"Fri May 01 2020 00:00:00 GMT+0530 (India Standard Time)","1960.00","2030.00","1867.00","1971.55"
"Mon Jun 01 2020 00:00:00 GMT+0530 (India Standard Time)","1995.00","2132.05","1982.00","2082.20"
"Wed Jul 01 2020 00:00:00 GMT+0530 (India Standard Time)","2085.05","2357.15","2081.55","2282.45"
"Mon Aug 03 2020 00:00:00 GMT+0530 (India Standard Time)","2299.00","2327.00","2217.05","2256.35"
"Tue Sep 01 2020 00:00:00 GMT+0530 (India Standard Time)","2265.00","2554.00","2241.50","2491.50"
"Thu Oct 01 2020 00:00:00 GMT+0530 (India Standard Time)","2509.80","2885.00","2492.00","2664.85"
"Mon Nov 02 2020 00:00:00 GMT+0530 (India Standard Time)","2665.00","2743.80","2600.00","2679.15"
"Tue Dec 01 2020 00:00:00 GMT+0530 (India Standard Time)","2680.00","2951.90","2625.10","2870.20"
"Fri Jan 01 2021 00:00:00 GMT+0530 (India Standard Time)","2879.00","3345.25","2877.30","3112.90"
"Mon Feb 01 2021 00:00:00 GMT+0530 (India Standard Time)","3104.00","3245.80","2701.00","2896.05"
"Mon Mar 01 2021 00:00:00 GMT+0530 (India Standard Time)","2930.00","3205.00","2900.00","3177.60"
"Thu Apr 01 2021 00:00:00 GMT+0530 (India Standard Time)","3190.00","3358.80","3021.00","3038.40"
"Mon May 03 2021 00:00:00 GMT+0530 (India Standard Time)","3034.70","3218.00","3004.80","3158.95"
"Tue Jun 01 2021 00:00:00 GMT+0530 (India Standard Time)","3170.00","3399.00","3116.15","3345.25"
"Thu Jul 01 2021 00:00:00 GMT+0530 (India Standard Time)","3359.00","3373.90","3133.20","3167.50"
"Mon Aug 02 2021 00:00:00 GMT+0530 (India Standard Time)","3173.55","3802.95","3166.05","3786.55"
"Wed Sep 01 2021 00:00:00 GMT+0530 (India Standard Time)","3790.00","3981.55","3706.00","3774.50"
"Fri Oct 01 2021 00:00:00 GMT+0530 (India Standard Time)","3779.00","3990.00","3386.00","3398.80"
"Mon Nov 01 2021 00:00:00 GMT+0530 (India Standard Time)","3438.00","3575.00","3407.55","3532.00"
"Wed Dec 01 2021 00:00:00 GMT+0530 (India Standard Time)","3535.15","3759.80","3509.85","3736.85"
"Mon Jan 03 2022 00:00:00 GMT+0530 (India Standard Time)","3744.00","4045.50","3626.25","3737.90"
"Tue Feb 01 2022 00:00:00 GMT+0530 (India Standard Time)","3780.00","3882.95","3392.05","3554.55"
"Tue Mar 01 2022 00:00:00 GMT+0530 (India Standard Time)","3560.10","3778.05","3351.00","3738.80"
"Fri Apr 01 2022 00:00:00 GMT+0530 (India Standard Time)","3746.15","3835.50","3440.00","3550.10"
"Mon May 02 2022 00:00:00 GMT+0530 (India Standard Time)","3513.00","3548.40","3155.00","3364.80"
"Wed Jun 01 2022 00:00:00 GMT+0530 (India Standard Time)","3385.00","3477.50","3023.35","3265.25"
"Fri Jul 01 2022 00:00:00 GMT+0530 (India Standard Time)","3262.00","3332.45","2953.00","3300.80"
"Mon Aug 01 2022 00:00:00 GMT+0530 (India Standard Time)","3327.05","3428.00","3081.30","3211.60"
"Thu Sep 01 2022 00:00:00 GMT+0530 (India Standard Time)","3189.60","3268.70","2926.00","3004.60"
"Mon Oct 03 2022 00:00:00 GMT+0530 (India Standard Time)","3004.60","3199.30","2973.85","3193.05"
"Tue Nov 01 2022 00:00:00 GMT+0530 (India Standard Time)","3209.00","3428.00","3168.00","3392.40"
"Thu Dec 01 2022 00:00:00 GMT+0530 (India Standard Time)","3421.00","3479.65","3164.00","3259.25"
"Mon Jan 02 2023 00:00:00 GMT+0530 (India Standard Time)","3265.00","3457.95","3200.00","3357.45"
"Wed Feb 01 2023 00:00:00 GMT+0530 (India Standard Time)","3380.00","3575.00","3300.05","3314.15"
"Wed Mar 01 2023 00:00:00 GMT+0530 (India Standard Time)","3326.50","3404.00","3096.10","3205.80"
"Mon Apr 03 2023 00:00:00 GMT+0530 (India Standard Time)","3225.00","3275.00","3070.30","3216.00"
"Mon May 01 2023 00:00:00 GMT+0530 (India Standard Time)","3217.00","3372.95","3174.05","3291.00"
"Thu Jun 01 2023 00:00:00 GMT+0530 (India Standard Time)","3310.00","3339.80","3156.20","3300.50"
"Mon Jul 03 2023 00:00:00 GMT+0530 (India Standard Time)","3306.70","3549.00","3250.00","3421.10"
"Tue Aug 01 2023 00:00:00 GMT+0530 (India Standard Time)","3408.15","3487.75","3345.00","3357.05"
"Fri Sep 01 2023 00:00:00 GMT+0530 (India Standard Time)","3359.05","3633.05","3357.05","3530.75"
"Mon Oct 02 2023 00:00:00 GMT+0530 (India Standard Time)","3531.05","3680.00","3330.40","3368.20"
"Wed Nov 01 2023 00:00:00 GMT+0530 (India Standard Time)","3354.75","3543.40","3313.00","3493.40"
"Fri Dec 01 2023 00:00:00 GMT+0530 (India Standard Time)","3495.10","3928.95","3490.00","3794.95"
"Mon Jan 01 2024 00:00:00 GMT+0530 (India Standard Time)","3792.00","3965.00","3651.55","3814.75"
"Thu Feb 01 2024 00:00:00 GMT+0530 (India Standard Time)","3816.20","4184.55","3805.00","4092.15"
"Fri Mar 01 2024 00:00:00 GMT+0530 (India Standard Time)","4095.40","4254.45","3828.55","3883.55"
"Mon Apr 01 2024 00:00:00 GMT+0530 (India Standard Time)","3900.00","4063.00","3801.00","3822.60"
"Wed May 01 2024 00:00:00 GMT+0530 (India Standard Time)","3800.00","3988.30","3655.00","3669.50"
"Mon Jun 03 2024 00:00:00 GMT+0530 (India Standard Time)","3774.90","3959.95","3593.30","3904.95"
"Mon Jul 01 2024 00:00:00 GMT+0530 (India Standard Time)","3904.00","4431.25","3886.05","4384.65"
"Thu Aug 01 2024 00:00:00 GMT+0530 (India Standard Time)","4399.75","4580.00","4110.80","4551.85"
"Mon Sep 02 2024 00:00:00 GMT+0530 (India Standard Time)","4584.85","4585.90","4226.60","4268.40"
"Tue Oct 01 2024 00:00:00 GMT+0530 (India Standard Time)","4255.00","4299.00","3959.00","3971.25"
"Fri Nov 01 2024 00:00:00 GMT+0530 (India Standard Time)","3992.95","4149.80","3915.00","4140.00"
